tournament,no,name,age,height,weight,profession,title,result
38,1,Yokoi Kansuke ,34,,,アスリート,,
38,2,Torisawa Katsuhide ,48,162,85,職員,,
38,3,Wakai Yukihiro ,31,180,,アスリート,,
38,4,Kozono Ryō ,25,175,60,タレント,,
38,5,Yokokawa Naotaka ,26,170,75,ボディビルダー,,
38,6,Ishibashi Takuya ,28,,,人力車夫,,
38,7,Konishi Daiki ,33,166,70,アスリート,,
38,8,Mori Hikaru ,30,,,医師,,
38,9,Okawa Keigo ,27,,,アスリート,,
38,10,Nasu Daisuke ,39,180,75,アスリート,,
38,11,KAREN ,24,,,ダンサー,,
38,12,Takagishi Hiroyuki ,28,188,90,芸人,,
38,13,Maeda Yuta ,28,175,68,芸人,,
38,14,Saikawa Kōji ,25,176,59,俳優,,
38,15,Kyoumo Genki ,32,,,アーティスト,,
38,16,Honma Takashi ,51,,,バンダイ　SASUKE部,,
38,17,Osaru ,52,,,書道家,,
38,18,Tsurugasaki Yoshiaki ,30,185,93,アスリート,,
38,19,Sakuma Kota ,28,,,教員,,
38,20,Takiwaki Shoko ,19,157,,アイドル,,
38,21,Wakao Ayaka ,31,168,50,モデル,,
38,22,Tsumamoto Masato ,38,,,役員,,
38,23,Hiramitsu Raima ,18,164,,俳優,,
38,24,Sugawara Ken ,25,,,俳優,,
38,25,Kawano Ryota ,23,,,アスリート,,
38,26,Kanno Kazuki ,35,,,調理師,,
38,27,Kobayashi Hirokazu ,35,179,,アスリート,,
38,28,Yachi Kento ,32,180,68,アスリート,,
38,29,Harada Yoshiki ,36,168,66,アスリート,,
38,30,Goto Yusuke ,24,,,職員,,
38,31,Nicchiro' ,42,180,,芸人,,
38,32,Nakamura Jin ,24,,,アスリート,,
38,33,Yamamoto Akihiro ,26,,,アスリート,,
38,34,Takimura Tsuyoshi ,25,,,モデル,,
38,35,Sunagawa Shinya ,25,,,大学生,,
38,36,Matsuda Daisuke ,45,,,職人,,
38,37,Suzuki Yusuke ,42,171,58,教員,SASUKE新世代,
38,38,Ishibashi Taro ,35,,,編集者,,
38,39,Kiuchu Yujin ,19,,,モデル,,
38,40,Kajihara Hayate ,26,,,アイドル,,
38,41,HAKU,25,,,ダンサー,,
38,42,Mutou Tomohiro ,28,,,アスリート,,
38,43,Dai ,27,,,催眠術師,,
38,44,Kou ,25,,,Yotuber,Yotuber,
38,45,Sugiura Yuji ,30,,,会社員,,
38,46,Sawai Kazuki ,24,197,78,芸人,,
38,47,Jackie Chang ,46,,,芸人,,
38,48,JO,37,183,,芸人,,
38,49,Yamamoto Yoshiyuki ,28,,,,黒虎,
38,50,Isa Yoshinori ,27,,,,黒虎,
38,51,Maruyama Karina ,37,,,アスリート,,
38,52,Takeda Nobuhiro ,53,177,72,アスリート,,
38,53,Takahashi Fu ,22,,,俳優,,
38,54,Ito Takeomi ,49,185,90,アスリート,,
38,55,Aranami Sho ,34,179,80,アスリート,,
38,56,Takano Kairu ,21,182,60,俳優,,
38,57,Hioki Masashi ,39,168,60,会社員,SASUKE新世代,
38,58,Soshina ,27,180,56,芸人,,
38,59,Seiya ,28,163,56,芸人,,
38,60,Kobayashi Yoshihisa ,39,175,62,体操のお兄さん,,
38,61,Ishida Takumi ,32,160,55,芸人,,
38,62,Tomomoto Momo ,24,171,52,タレント,,
38,63,Kusaka Reina ,25,,,会社員,,
38,64,Watanabe Mai ,25,,,アスリート,,
38,65,Miyahara Kanon ,24,,,女優,,
38,66,Suzuki Kodai ,25,173,80,アスリート,,
38,67,Wasabi ,32,,,アーティスト,,
38,68,Takasu Kenya ,25,,,職員,,
38,69,Hirayama,,,,ドライバー,,
38,70,Nagasaki Shunsuke ,33,173,70,アスリート,SASUKE新世代,
38,71,Matachi Ryo ,31,162,53,職員,SASUKE新世代,
38,72,Kanno Hitoshi ,35,168,64,デザイナー,SASUKE新世代,
38,73,Suzuki Shun'ei ,23,166,,タレント,,
38,74,Sugeta Rinne ,22,157,43,タレント,,
38,75,Kasuga Toshiaki ,41,169,60,芸人,,
38,76,Okado Hinata ,18,,,ダンサー,,
38,77,Asakura Kanna ,23,,,アスリート,,
38,78,Oshima Ayano ,26,158,49,会社員,くのいち,
38,79,Niijima Ta,,,,インストラクター,,
38,80,Tsuboi Keisuke ,41,179,70,アスリート,,
38,81,Yorogo Daiki ,25,167,56,アスリート,,
38,82,Araki Naoyuki ,27,,,デザイナー,森本世代,
38,83,Zin ,26,175,70,ダンサー,,
38,84,Urakawa Shohei ,23,170,60,ダンサー,,
38,85,Takechi Kaisei ,22,183,78,ダンサー,,
38,86,Yamamoto Shingo ,46,171,67,職員,SASUKEオールスターズ,
38,87,Takeda Toshihiro ,45,171,61,消防士,SASUKEオールスターズ,
38,88,Iwamoto Hikaru ,27,182,68,アーティスト,,
38,89,Tsukada Ryoichi ,34,168,65,ダンサー,,
38,90,Yamamoto Keitaro ,30,164,59,教員,森本世代,
38,91,Shiratori Taiju ,24,181,63,アスリート,,
38,92,Fujita Yoshikazu ,27,184,90,アスリート,,
38,93,Darvish Kenji ,40,181,73,ミュージシャン,,
38,94,Satō Jun ,29,175,69,アスリート,,
38,95,Tada Tatsuya ,28,166.5,63,職員,森本世代,
38,96,Kawaguchi Tomohiro ,39,178,63,職人,SASUKE新世代,
38,97,Yamada Katsumi ,55,175,75,職員,SASUKEオールスターズ,
38,98,Nagano Makoto ,48,162,64,漁師,SASUKEオールスターズ,
38,99,Urushihara Yuuji ,42,163,55,営業,SASUKE新世代,
38,100,Morimoto Yūsuke ,29,162.5,59,エンジニア,森本世代,